customer_id,age,gender,region,total_orders,avg_order_value,days_since_last_purchase,loyalty_score,complaints,payment_type,tenure_months,is_promo_user,churn
CUST000001,29,Male,Suburban,4,10.32,5,1.0,0,Bank Transfer,38,0,0
CUST000002,26,Male,Suburban,1,39.6,1,0.97,0,PayPal,14,0,0
CUST000003,30,Male,Rural,5,41.55,45,1.0,0,PayPal,43,0,0
CUST000004,34,Male,Urban,4,104.29,2,0.59,0,Apple Pay,1,1,0
CUST000005,25,Female,Urban,6,84.69,4,0.94,0,Bank Transfer,14,0,0
CUST000006,25,Female,Rural,2,25.25,25,0.67,1,Apple Pay,1,0,1
CUST000007,34,Male,Suburban,9,98.37,27,0.85,0,PayPal,23,0,1
CUST000008,30,Female,Suburban,3,49.38,34,0.88,0,Apple Pay,6,0,0
CUST000009,24,Female,Suburban,6,74.93,15,0.58,1,Credit Card,3,0,0
CUST000010,29,Male,Suburban,4,26.9,44,0.54,0,PayPal,15,0,0
CUST000011,24,Male,Rural,5,10.0,109,0.41,1,PayPal,14,0,0
CUST000012,24,Female,Rural,6,17.47,9,0.88,0,PayPal,24,1,0
CUST000013,28,Female,Suburban,1,10.0,36,0.9,1,PayPal,6,0,0
CUST000014,18,Female,Urban,5,110.69,79,0.71,1,Credit Card,50,0,0
CUST000015,18,Male,Rural,7,43.43,34,1.0,0,Apple Pay,33,1,0
CUST000016,24,Male,Urban,6,37.81,34,0.49,0,PayPal,51,0,0
CUST000017,21,Male,Urban,6,70.86,7,0.88,0,Apple Pay,16,0,0
CUST000018,28,Male,Rural,7,43.03,22,1.0,0,Credit Card,8,0,0
CUST000019,22,Male,Urban,4,74.9,24,0.41,1,PayPal,60,1,0
CUST000020,19,Male,Urban,3,89.03,36,0.46,0,PayPal,32,0,0
CUST000021,34,Female,Urban,9,53.04,172,0.39,0,PayPal,15,1,0
CUST000022,25,Female,Rural,4,25.92,1,0.76,0,Bank Transfer,18,0,0
CUST000023,27,Male,Suburban,5,66.56,2,0.56,0,Credit Card,13,0,0
CUST000024,19,Female,Suburban,5,66.05,2,0.6,0,Credit Card,38,1,0
